id,value,deathSeason,deathEpisode,dead,appearances
 .Jon Snow.Olly.Ygritte.Mole's Town whore,545,4,8,1,2
 .Jon Snow.Olly.Ygritte.Old man,604,3,9,1,1
 .Jon Snow.Olly.Ygritte.Pypar,637,4,9,1,13
 .Jon Snow.Olly.Ygritte.Pypar.Unnamed Wildling,0,4,9,1,1
 .Jon Snow.Olly.Ygritte.Unnamed Night's Watch,0,4,9,1,1
 .Jon Snow.Olly.Ygritte.Villagers,0,4,3,1,1
 .Jon Snow.Orell,610,3,9,1,6
 .Jon Snow.Othell Yarwyck,949,6,3,1,14
 .Jon Snow.Qhorin,343,2,10,1,4
 .Jon Snow.Qhorin.Unnamed Wildlings,0,2,6,1,1
 .Jon Snow.Styr,767,4,9,1,4
 .Jon Snow.Styr.Mole's Town citizens,0,4,8,1,1
 .Jon Snow.Styr.Olly's mother,608,4,3,1,1
 .Jon Snow.Styr.Unnamed Night's Watch,0,4,9,1,1
 .Jon Snow.Unnamed Bolton men,0,6,9,1,1
 .Jon Snow.Unnamed Wildlings,0,4,9,1,1
 .Jon Snow.White Walker,913,5,8,1,1
 .Jon Snow.White Walker ,1015,7,6,1,1
 .Jon Snow.White Walker.Loboda,479,5,8,1,1
 .Jon Snow.White Walker.Loboda.Wights,0,5,8,1,1
 .Jon Snow.Wights,0,5,8,1,1
 .Jon Snow.Wights,0,7,6,1,1
 .Khal Jhaqo khalasar,0,0,0,0,1
 .Khal Jhaqo khalasar.Rakharo,646,2,2,1,8
 .Little birds,0,0,0,0,1
 .Little birds.Pycelle,635,6,10,1,31
 .Lyanna Stark,747,6,10,1,4
 .Meera Reed,662,0,0,0,13
 .Meera Reed.White Walker,915,6,5,1,1
 .Meera Reed.Wights,0,4,10,1,1
 .Meera Reed.Wights,0,6,5,1,1
 .Melisandre,534,8,3,1,36
 .Melisandre.Axell Florent,242,4,2,1,1
 .Melisandre.Renly Baratheon,49,2,5,1,8
 .Melisandre.Shireen Baratheon,52,5,9,1,10
 .Melisandre.Unnamed Dragonstone residents,0,4,2,1,1
 .Old Nan,581,2,1,1,4
 .Petyr Baratheon,48,1,0,1,1
 .Podrick Payne,623,0,0,0,27
 .Podrick Payne.Mandon Moore,547,2,9,1,4
 .Podrick Payne.Unnamed Bolton man,0,6,1,1,1
 .Rhaegal,664,0,0,0,13
 .Rhaegal.Unnamed Slaver's fleet,0,6,9,1,1
 .Rhaegal.Wights,0,7,6,1,1
 .Farmer,233,7,1,1,2
 .Farmer.Sally,688,7,1,1,2
 .Samwell Tarly,816,0,0,0,38
 .Samwell Tarly.Thenn warg,826,4,9,1,3
 .Samwell Tarly.White Walker,917,3,8,1,2
 .Sandor Clegane,144,0,0,0,29
 .Sandor Clegane.Biter,69,4,7,1,5
 .Sandor Clegane.Dying man,216,4,7,1,1
 .Sandor Clegane.Frey soldier 2,261,3,10,1,1
 .Sandor Clegane.Gatins,288,6,8,1,2
 .Sandor Clegane.King's Landing rioter 1,422,2,6,1,2
 .Sandor Clegane.Lem,473,6,8,1,2
